prefecture_code,prefecture_name,latitude,longitude,gdp_trillion_yen,gdp_million_yen,population,gdp_per_capita,year
01,北海道,43.2203,142.8635,19.5,19500000.0,5150000,3786407.7669902914,2022
02,青森県,40.5606,140.674,4.8,4800000.0,1200000,4000000.0,2022
03,岩手県,39.7036,141.1527,5.1,5100000.0,1180000,4322033.898305085,2022
04,宮城県,38.7222,140.7275,9.2,9200000.0,2270000,4052863.436123348,2022
05,秋田県,39.7186,140.1024,3.7,3700000.0,950000,3894736.8421052634,2022
06,山形県,38.6503,140.3311,4.0,4000000.0,1060000,3773584.9056603773,2022
07,福島県,37.7503,140.4676,7.8,7800000.0,1830000,4262295.081967213,2022
08,茨城県,36.3418,140.4468,13.3,13300000.0,2860000,4650349.6503496505,2022
09,栃木県,36.5657,139.8836,8.4,8400000.0,1920000,4375000.0,2022
10,群馬県,36.3911,139.0608,8.4,8400000.0,1930000,4352331.606217616,2022
11,埼玉県,35.8617,139.6455,23.2,23200000.0,7340000,3160762.9427792914,2022
12,千葉県,35.6074,140.1065,21.8,21800000.0,6280000,3471337.579617834,2022
13,東京都,35.6762,139.6503,104.9,104900000.0,14040000,7471509.971509972,2022
14,神奈川県,35.4478,139.6425,36.2,36200000.0,9200000,3934782.6086956523,2022
15,新潟県,37.9026,139.0232,9.2,9200000.0,2180000,4220183.486238532,2022
16,富山県,36.6959,137.2104,4.7,4700000.0,1030000,4563106.796116505,2022
17,石川県,36.5946,136.6256,4.6,4600000.0,1130000,4070796.4601769913,2022
18,福井県,36.0652,136.2217,3.4,3400000.0,760000,4473684.2105263155,2022
19,山梨県,35.6642,138.5684,3.6,3600000.0,810000,4444444.444444444,2022
20,長野県,36.6513,138.181,8.5,8500000.0,2030000,4187192.118226601,2022
21,岐阜県,35.3912,136.7223,7.6,7600000.0,1980000,3838383.8383838385,2022
22,静岡県,34.9769,138.3831,17.1,17100000.0,3610000,4736842.105263159,2022
23,愛知県,35.1802,136.9066,41.3,41300000.0,7530000,5484727.7556440905,2022
24,三重県,34.7303,136.5086,8.2,8199999.999999999,1760000,4659090.909090908,2022
25,滋賀県,35.0045,135.8686,6.1,6100000.0,1410000,4326241.134751773,2022
26,京都府,35.0211,135.7556,9.9,9900000.0,2560000,3867187.5,2022
27,大阪府,34.6937,135.5023,39.1,39100000.0,8810000,4438138.479001135,2022
28,兵庫県,34.6913,135.183,20.2,20200000.0,5450000,3706422.018348624,2022
29,奈良県,34.6851,135.8048,3.7,3700000.0,1330000,2781954.887218045,2022
30,和歌山県,34.2261,135.1675,3.6,3600000.0,920000,3913043.4782608696,2022
31,鳥取県,35.5038,134.2384,1.9,1900000.0,550000,3454545.4545454546,2022
32,島根県,35.4723,133.0505,2.4,2400000.0,670000,3582089.552238806,2022
33,岡山県,34.6617,133.9349,7.5,7500000.0,1880000,3989361.7021276597,2022
34,広島県,34.3963,132.4596,11.6,11600000.0,2780000,4172661.870503597,2022
35,山口県,34.1861,131.4706,5.6,5600000.0,1330000,4210526.315789473,2022
36,徳島県,34.0658,134.5594,3.6,3600000.0,720000,5000000.0,2022
37,香川県,34.3401,134.0434,3.9,3900000.0,950000,4105263.1578947366,2022
38,愛媛県,33.8416,132.7657,4.7,4700000.0,1320000,3560606.0606060605,2022
39,高知県,33.5597,133.5311,2.4,2400000.0,690000,3478260.8695652173,2022
40,福岡県,33.6064,130.4181,20.1,20100000.0,5120000,3925781.25,2022
41,佐賀県,33.2494,130.2989,2.8,2800000.0,810000,3456790.12345679,2022
42,長崎県,32.7503,129.8677,4.2,4200000.0,1320000,3181818.1818181816,2022
43,熊本県,32.7898,130.7417,5.8,5800000.0,1740000,3333333.3333333335,2022
44,大分県,33.2382,131.6126,4.7,4700000.0,1130000,4159292.03539823,2022
45,宮崎県,31.9111,131.4239,3.8,3800000.0,1070000,3551401.8691588785,2022
46,鹿児島県,31.5602,130.5581,6.0,6000000.0,1580000,3797468.35443038,2022
47,沖縄県,26.2124,127.6792,4.3,4300000.0,1470000,2925170.068027211,2022
